Combined_Key,Last_Update,Confirmed,Deaths
"Ladakh, India",2022-04-21 04:20:46,28242,228
"Lakshadweep, India",2022-04-21 04:20:46,11402,52
"Madhya Pradesh, India",2022-04-21 04:20:46,1041266,10735
"Maharashtra, India",2022-04-21 04:20:46,7876203,147830
"Manipur, India",2022-04-21 04:20:46,137203,2120
"Meghalaya, India",2022-04-21 04:20:46,93792,1593
"Mizoram, India",2022-04-21 04:20:46,226499,694
"Nagaland, India",2022-04-21 04:20:46,35488,760
"Odisha, India",2022-04-21 04:20:46,1287959,9124
"Puducherry, India",2022-04-21 04:20:46,165777,1962
"Punjab, India",2022-04-21 04:20:46,759334,17743
"Rajasthan, India",2022-04-21 04:20:46,1283251,9552
"Sikkim, India",2022-04-21 04:20:46,39148,452
"Tamil Nadu, India",2022-04-21 04:20:46,3453351,38025
"Telangana, India",2022-04-21 04:20:46,791692,4111
"Tripura, India",2022-04-21 04:20:46,100879,922
"Unknown, India",2022-04-21 04:20:46,0,0
"Uttar Pradesh, India",2022-04-21 04:20:46,2072063,23502
"Uttarakhand, India",2022-04-21 04:20:46,437350,7692
"West Bengal, India",2022-04-21 04:20:46,2017874,21200
Indonesia,2022-04-21 04:20:46,6041269,155937
Iran,2022-04-21 04:20:46,7212395,140896
Iraq,2022-04-21 04:20:46,2323707,25201
Ireland,2022-04-21 04:20:46,1506963,6981
Israel,2022-04-21 04:20:46,4044987,10658
"Abruzzo, Italy",2022-04-21 04:20:46,352782,3174
"Basilicata, Italy",2022-04-21 04:20:46,120203,865
"Calabria, Italy",2022-04-21 04:20:46,337966,2441
"Campania, Italy",2022-04-21 04:20:46,1533065,10200
"Emilia-Romagna, Italy",2022-04-21 04:20:46,1365151,16497
"Friuli Venezia Giulia, Italy",2022-04-21 04:20:46,353722,4971
"Lazio, Italy",2022-04-21 04:20:46,1422790,10967
"Liguria, Italy",2022-04-21 04:20:46,413140,5236
"Lombardia, Italy",2022-04-21 04:20:46,2690610,39682
"Marche, Italy",2022-04-21 04:20:46,426693,3809
"Molise, Italy",2022-04-21 04:20:46,55774,607
"P.A. Bolzano, Italy",2022-04-21 04:20:46,207124,1458
"P.A. Trento, Italy",2022-04-21 04:20:46,157205,1551
"Piemonte, Italy",2022-04-21 04:20:46,1112083,13278
"Puglia, Italy",2022-04-21 04:20:46,1018468,8190
"Sardegna, Italy",2022-04-21 04:20:46,262229,2304
"Sicilia, Italy",2022-04-21 04:20:46,1066352,10406
"Toscana, Italy",2022-04-21 04:20:46,1062018,9741
"Umbria, Italy",2022-04-21 04:20:46,257015,1831
"Valle d'Aosta, Italy",2022-04-21 04:20:46,34198,529
"Veneto, Italy",2022-04-21 04:20:46,1609854,14361
Jamaica,2022-04-21 04:20:46,129347,2936
"Aichi, Japan",2022-04-21 04:20:46,463758,2006
"Akita, Japan",2022-04-21 04:20:46,22261,52
"Aomori, Japan",2022-04-21 04:20:46,44937,93
"Chiba, Japan",2022-04-21 04:20:46,405171,1720
"Ehime, Japan",2022-04-21 04:20:46,30677,134
"Fukui, Japan",2022-04-21 04:20:46,25140,45
"Fukuoka, Japan",2022-04-21 04:20:46,348421,1185
"Fukushima, Japan",2022-04-21 04:20:46,46930,201
"Gifu, Japan",2022-04-21 04:20:46,79246,322
"Gunma, Japan",2022-04-21 04:20:46,79891,305
"Hiroshima, Japan",2022-04-21 04:20:46,117436,459
"Hokkaido, Japan",2022-04-21 04:20:46,266400,1974
"Hyogo, Japan",2022-04-21 04:20:46,370672,2168
"Ibaraki, Japan",2022-04-21 04:20:46,136047,410
"Ishikawa, Japan",2022-04-21 04:20:46,40185,187
"Iwate, Japan",2022-04-21 04:20:46,24458,83
"Kagawa, Japan",2022-04-21 04:20:46,36143,116
"Kagoshima, Japan",2022-04-21 04:20:46,57120,173
"Kanagawa, Japan",2022-04-21 04:20:46,675339,2111
"Kochi, Japan",2022-04-21 04:20:46,19919,104
"Kumamoto, Japan",2022-04-21 04:20:46,76756,276
"Kyoto, Japan",2022-04-21 04:20:46,172820,692
"Mie, Japan",2022-04-21 04:20:46,67014,281
"Miyagi, Japan",2022-04-21 04:20:46,69160,182
"Miyazaki, Japan",2022-04-21 04:20:46,35982,123
"Nagano, Japan",2022-04-21 04:20:46,57259,169
